,Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
287,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-1.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
288,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-101.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
289,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-106.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
290,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-11.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
291,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-111.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
292,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-116.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
293,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-121.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
294,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-126.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
295,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-131.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
296,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-136.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
297,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-141.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
298,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-146.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
299,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-151.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
300,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-156.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
301,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-16.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
302,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-161.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
303,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-166.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
304,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-171.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
305,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-176.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
306,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-181.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
307,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-186.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
308,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-191.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
309,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-196.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
310,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-201.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
311,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-206.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
312,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-21.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
313,Bengaluru,BENGR_Mod_2023-02-21-08.30-1-211.jpg,2023,2,21,8:30,56,27,53,27,265,19,16,b_Moderate
