,Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
0,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-1.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
1,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-10.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
2,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-11.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
3,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-12.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
4,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-13.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
5,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-14.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
6,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-15.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
7,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-16.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
8,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-17.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
9,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-18.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
10,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-19.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
11,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-2.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
12,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-20.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
13,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-21.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
14,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-22.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
15,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-23.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
16,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-24.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
17,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-25.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
18,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-26.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
19,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-27.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
20,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-28.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
21,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-29.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
22,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-3.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
23,Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-30.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
